Year,Province,District,Urban/Rural,GeoCode,Value
2000,Kigali city,,,1.0,22.7
2005,Kigali city,,,1.0,20.8
2010,Kigali city,,,1.0,16.8
2013,Kigali city,,,1.0,20.7
2016,Kigali city,,,1.0,13.9
2000,Southern Province,,,2.0,65.5
2005,Southern Province,,,2.0,66.7
2010,Southern Province,,,2.0,56.5
2013,Southern Province,,,2.0,38.4
2016,Southern Province,,,2.0,41.4
2000,Western Province,,,3.0,62.3
2005,Western Province,,,3.0,60.4
2010,Western Province,,,3.0,48.4
2013,Western Province,,,3.0,45.2
2016,Western Province,,,3.0,47.1
2000,Northern Province,,,4.0,64.2
2005,Northern Province,,,4.0,60.5
2010,Northern Province,,,4.0,42.8
2013,Northern Province,,,4.0,46.1
2016,Northern Province,,,4.0,42.3
2000,Eastern Province,,,5.0,59.3
2005,Eastern Province,,,5.0,52.1
2010,Eastern Province,,,5.0,42.6
2013,Eastern Province,,,5.0,37.9
2016,Eastern Province,,,5.0,37.4
2010,Kigali city,Nyarugenge,,11.0,10.1
2013,Kigali city,Nyarugenge,,11.0,19.9
2016,Kigali city,Nyarugenge,,11.0,11.8
2010,Kigali city,Gasabo,,12.0,26.0
2013,Kigali city,Gasabo,,12.0,23.4
2016,Kigali city,Gasabo,,12.0,15.8
2010,Kigali city,Kicukiro,,13.0,8.3
2013,Kigali city,Kicukiro,,13.0,16.3
2016,Kigali city,Kicukiro,,13.0,11.4
2010,Southern Province,Nyanza,,21.0,49.8
2013,Southern Province,Nyanza,,21.0,38.0
2016,Southern Province,Nyanza,,21.0,46.5
2010,Southern Province,Gisagara,,22.0,59.4
2013,Southern Province,Gisagara,,22.0,53.3
2016,Southern Province,Gisagara,,22.0,55.6
2010,Southern Province,Nyaruguru,,23.0,61.6
2013,Southern Province,Nyaruguru,,23.0,47.9
2016,Southern Province,Nyaruguru,,23.0,52.4
2010,Southern Province,Huye,,24.0,46.6
2013,Southern Province,Huye,,24.0,32.5
2016,Southern Province,Huye,,24.0,40.2
2010,Southern Province,Nyamagabe,,25.0,73.3
2013,Southern Province,Nyamagabe,,25.0,41.5
2016,Southern Province,Nyamagabe,,25.0,48.6
2010,Southern Province,Ruhango,,26.0,60.4
2013,Southern Province,Ruhango,,26.0,37.8
2016,Southern Province,Ruhango,,26.0,38.0
2010,Southern Province,Muhanga,,27.0,53.6
2013,Southern Province,Muhanga,,27.0,30.5
2016,Southern Province,Muhanga,,27.0,32.6
2010,Southern Province,Kamonyi,,28.0,46.7
2013,Southern Province,Kamonyi,,28.0,25.9
2016,Southern Province,Kamonyi,,28.0,22.3
2010,Western Province,Karongi,,31.0,61.7
2013,Western Province,Karongi,,31.0,45.3
2016,Western Province,Karongi,,31.0,52.7
2010,Western Province,Rutsiro,,32.0,53.0
2013,Western Province,Rutsiro,,32.0,51.4
2016,Western Province,Rutsiro,,32.0,49.5
2010,Western Province,Rubavu,,33.0,35.8
2013,Western Province,Rubavu,,33.0,35.5
2016,Western Province,Rubavu,,33.0,35.7
2010,Western Province,Nyabihu,,34.0,28.6
2013,Western Province,Nyabihu,,34.0,39.6
2016,Western Province,Nyabihu,,34.0,46.8
2010,Western Province,Ngororero,,35.0,51.9
2013,Western Province,Ngororero,,35.0,49.6
2016,Western Province,Ngororero,,35.0,47.7
2010,Western Province,Rusizi,,36.0,45.0
2013,Western Province,Rusizi,,36.0,35.1
2016,Western Province,Rusizi,,36.0,33.5
2010,Western Province,Nyamasheke,,37.0,63.4
2013,Western Province,Nyamasheke,,37.0,62.0
2016,Western Province,Nyamasheke,,37.0,69.3
2010,Northern Province,Rulindo,,41.0,42.9
2013,Northern Province,Rulindo,,41.0,48.1
2016,Northern Province,Rulindo,,41.0,54.2
2010,Northern Province,Gakenke,,42.0,56.6
2013,Northern Province,Gakenke,,42.0,42.0
2016,Northern Province,Gakenke,,42.0,34.2
2010,Northern Province,Musanze,,43.0,20.1
2013,Northern Province,Musanze,,43.0,34.9
2016,Northern Province,Musanze,,43.0,40.7
2010,Northern Province,Burera,,44.0,45.2
2013,Northern Province,Burera,,44.0,50.4
2016,Northern Province,Burera,,44.0,49.8
2010,Northern Province,Gicumbi,,45.0,49.3
2013,Northern Province,Gicumbi,,45.0,55.3
2016,Northern Province,Gicumbi,,45.0,34.7
2010,Eastern Province,Rwamagana,,51.0,30.4
2013,Eastern Province,Rwamagana,,51.0,25.4
2016,Eastern Province,Rwamagana,,51.0,18.9
2010,Eastern Province,Nyagatare,,52.0,37.8
2013,Eastern Province,Nyagatare,,52.0,44.1
2016,Eastern Province,Nyagatare,,52.0,44.8
2010,Eastern Province,Gatsibo,,53.0,43.1
