Year,Financial soundness indicator,Financial soundness indicator sub-type,Value
2016 Q2,Capital Adequacy,Regulatory Capital to Risk-Weighted Assets,23.33696702
2016 Q3,Capital Adequacy,Regulatory Capital to Risk-Weighted Assets,22.47200335
2016 Q4,Capital Adequacy,Regulatory Capital to Risk-Weighted Assets,21.90246313
2017 Q1,Capital Adequacy,Regulatory Capital to Risk-Weighted Assets,21.16351476
2017 Q2,Capital Adequacy,Regulatory Capital to Risk-Weighted Assets,20.79790431
2017 Q3,Capital Adequacy,Regulatory Capital to Risk-Weighted Assets,22.29080904
2017 Q4,Capital Adequacy,Regulatory Capital to Risk-Weighted Assets,21.39987487
2018 Q1,Capital Adequacy,Regulatory Capital to Risk-Weighted Assets,21.10443047
2018 Q2,Capital Adequacy,Regulatory Capital to Risk-Weighted Assets,21.3923706
2018 Q3,Capital Adequacy,Regulatory Capital to Risk-Weighted Assets,22.6433885
2016 Q2,Capital Adequacy,Regulatory Tier 1 Capital to Risk-Weighted Assets,20.68261448
2016 Q3,Capital Adequacy,Regulatory Tier 1 Capital to Risk-Weighted Assets,20.361929800000002
2016 Q4,Capital Adequacy,Regulatory Tier 1 Capital to Risk-Weighted Assets,19.9596975
2017 Q1,Capital Adequacy,Regulatory Tier 1 Capital to Risk-Weighted Assets,19.55186566
2017 Q2,Capital Adequacy,Regulatory Tier 1 Capital to Risk-Weighted Assets,19.22011147
2017 Q3,Capital Adequacy,Regulatory Tier 1 Capital to Risk-Weighted Assets,20.48565649
2017 Q4,Capital Adequacy,Regulatory Tier 1 Capital to Risk-Weighted Assets,20.04211562
2018 Q1,Capital Adequacy,Regulatory Tier 1 Capital to Risk-Weighted Assets,19.54718878
2018 Q2,Capital Adequacy,Regulatory Tier 1 Capital to Risk-Weighted Assets,19.655540600000002
2018 Q3,Capital Adequacy,Regulatory Tier 1 Capital to Risk-Weighted Assets,20.84308976
2016 Q2,Non-performing Loans Net of Provisions to Capital,,17.05444739
2016 Q3,Non-performing Loans Net of Provisions to Capital,,18.02845827
2016 Q4,Non-performing Loans Net of Provisions to Capital,,18.35437105
2017 Q1,Non-performing Loans Net of Provisions to Capital,,19.80439712
2017 Q2,Non-performing Loans Net of Provisions to Capital,,21.773233800000003
2017 Q3,Non-performing Loans Net of Provisions to Capital,,19.30047093
2017 Q4,Non-performing Loans Net of Provisions to Capital,,19.22660157
2018 Q1,Non-performing Loans Net of Provisions to Capital,,12.743638699999998
2018 Q2,Non-performing Loans Net of Provisions to Capital,,10.48011576
2018 Q3,Non-performing Loans Net of Provisions to Capital,,10.96800859
2016 Q2,Non-performing Loans to Total Gross Loans,,7.557006007000001
2016 Q3,Non-performing Loans to Total Gross Loans,,7.44161075
2016 Q4,Non-performing Loans to Total Gross Loans,,7.616837479
2017 Q1,Non-performing Loans to Total Gross Loans,,8.130734047
2017 Q2,Non-performing Loans to Total Gross Loans,,8.235570404
2017 Q3,Non-performing Loans to Total Gross Loans,,7.731608142000001
2017 Q4,Non-performing Loans to Total Gross Loans,,7.650493075
2018 Q1,Non-performing Loans to Total Gross Loans,,6.826732089
2018 Q2,Non-performing Loans to Total Gross Loans,,6.915156061
2018 Q3,Non-performing Loans to Total Gross Loans,,7.2263252079999996
2016 Q2,Return on Assets,,2.621142696
2016 Q3,Return on Assets,,2.814311724
2016 Q4,Return on Assets,,2.518228008
2017 Q1,Return on Assets,,2.7088017910000004
2017 Q2,Return on Assets,,2.564172861
2017 Q3,Return on Assets,,2.490116253
2017 Q4,Return on Assets,,2.0136043040000002
2018 Q1,Return on Assets,,2.345170584
2018 Q2,Return on Assets,,2.63653818
2018 Q3,Return on Assets,,2.80145747
2016 Q2,Liquid Assets to Short Term Liabilities,,111.869649
2016 Q3,Liquid Assets to Short Term Liabilities,,103.58628399999999
2016 Q4,Liquid Assets to Short Term Liabilities,,111.00950279999999
2017 Q1,Liquid Assets to Short Term Liabilities,,129.3507989
2017 Q2,Liquid Assets to Short Term Liabilities,,140.6079557
2017 Q3,Liquid Assets to Short Term Liabilities,,125.80633229999998
2017 Q4,Liquid Assets to Short Term Liabilities,,126.3562123
2018 Q1,Liquid Assets to Short Term Liabilities,,121.19031640000001
2018 Q2,Liquid Assets to Short Term Liabilities,,137.8594918
2018 Q3,Liquid Assets to Short Term Liabilities,,129.55472959999997
2016 Q2,Net Open Position in Foreign Exchange to Capital,,-1.6143899480000001
2016 Q3,Net Open Position in Foreign Exchange to Capital,,-5.591359077999999
2016 Q4,Net Open Position in Foreign Exchange to Capital,,-3.009032693
2017 Q1,Net Open Position in Foreign Exchange to Capital,,-3.8563920069999997
2017 Q2,Net Open Position in Foreign Exchange to Capital,,-5.67612329
2017 Q3,Net Open Position in Foreign Exchange to Capital,,-6.577046022
2017 Q4,Net Open Position in Foreign Exchange to Capital,,-7.338662665
2018 Q1,Net Open Position in Foreign Exchange to Capital,,-4.4838671219999995
2018 Q2,Net Open Position in Foreign Exchange to Capital,,-6.2211286779999995
2018 Q3,Net Open Position in Foreign Exchange to Capital,,-9.092596983
