Year,GeoCode,Geography,Mother's education,Birth Order,Birth Intervals,Sex,Location,Wealth Index,Mother age at birth,Value
2005,AFRRWA003,West,,,,,,,,100.0
2007-2008,,,No education,,,,,,,100.0
2005,,,Primary,7+,,,,,,101.0
2007-2008,,,,,<2yr,,,,,102.0
2010,,,,,,,,,,104.0
2005,,,,,,Male,,,,106.0
2000,,,,,,,,,,107.0
2005,,,,,,,,,40-49 yr,107.0
2005,AFRRWA002,South,,,,,,,,107.0
2005,,,,,,,Rural,,,108.0
2005,,,,,,,,Second,,111.0
2005,,,,1,,,,,,113.0
2005,,,,,,,,Poorest,,114.0
2005,,,,7+,,,,,,115.0
2005,,,No education,,,,,,,117.0
2014-2015,AFRRWA003007,Nyamasheke,,,,,,,,12.0
2005,,,,,,,,Fourth,,121.0
2005,AFRRWA005,East,,,,,,,,125.0
2007-2008,,,,,<2yr,,,,,132.0
2005,,,,,,,,,<20 yr,139.0
2005,,,,,< 2yr,,,,,149.0
2014-2015,AFRRWA002007,Muhanga,,,,,,,,20.0
2014-2015,AFRRWA002005,Nyamagabe,,,,,,,,21.0
2007-2008,,,Secondary and higher,,,,,,,23.0
2014-2015,AFRRWA004004,Burera,,,,,,,,26.0
2014-2015,AFRRWA001002,Gasabo,,,,,,,,27.0
2014-2015,AFRRWA001001,Nyarugenge,,,,,,,,29.0
2010,AFRRWA001001,Nyarugenge,,,,,,,,31.0
2014-2015,,,,,,,,,,32.0
2014-2015,AFRRWA001003,Kicukiro,,,,,,,,32.0
2014-2015,AFRRWA003004,Nyabihu,,,,,,,,35.0
2014-2015,AFRRWA004005,Gicumbi,,,,,,,,37.0
2014-2015,AFRRWA002008,Kamonyi,,,,,,,,38.0
2014-2015,AFRRWA004001,Rulindo,,,,,,,,38.0
2010,AFRRWA002006,Ruhango,,,,,,,,39.0
2014-2015,AFRRWA002001,Nyanza,,,,,,,,40.0
2014-2015,AFRRWA002004,Huye,,,,,,,,40.0
2010,,,,,3 yr,,,,,41.0
2014-2015,AFRRWA003006,Rusizi,,,,,,,,41.0
2014-2015,AFRRWA005001,Rwamagana,,,,,,,,42.0
2014-2015,AFRRWA005006,Ngoma,,,,,,,,42.0
2014-2015,AFRRWA003001,Karongi,,,,,,,,43.0
2014-2015,AFRRWA004002,Gakenke,,,,,,,,43.0
2012,,,,,,Female,,,,43.7
2010,,,,,4+,,,,,44.0
2010,AFRRWA002008,Kamonyi,,,,,,,,45.0
2010,AFRRWA003005,Ngororero,,,,,,,,45.0
2010,AFRRWA005001,Rwamagana,,,,,,,,45.0
2007-2008,,,,,,,,Richest,,45.0
2010,,,Secondary and higher,,,,,,,46.0
2007-2008,,,,,3 yr,,,,,46.0
2010,AFRRWA003002,Rutsiro,,,,,,,,47.0
2010,AFRRWA005002,Nyagatare,,,,,,,,47.0
2007-2008,,,,,,,Urban,,,47.0
2014-2015,AFRRWA004003,Musanze,,,,,,,,47.0
2014-2015,AFRRWA005007,Bugesera,,,,,,,,47.0
2010,AFRRWA002007,Muhanga,,,,,,,,48.0
2012,,,,,,,,,,48.6
2014-2015,AFRRWA003002,Rutsiro,,,,,,,,49.0
2014-2015,AFRRWA005002,Nyagatare,,,,,,,,49.0
2010,,,,,2 yr,,,,,50.0
2010,,,,,,,,Richest,,50.0
2010,AFRRWA003001,Karongi,,,,,,,,50.0
2010,AFRRWA005003,Gatsibo,,,,,,,,50.0
2014-2015,AFRRWA002002,Gisagara,,,,,,,,52.0
2014-2015,AFRRWA002003,Nyaruguru,,,,,,,,52.0
2014-2015,AFRRWA003003,Rubavu,,,,,,,,53.0
2012,,,,,,Male,,,,53.3
2010,AFRRWA002005,Nyamagabe,,,,,,,,54.0
2010,AFRRWA003003,Rubavu,,,,,,,,54.0
2014-2015,AFRRWA002006,Ruhango,,,,,,,,54.0
2010,,,,,,,Urban,,,55.0
2010,,,,,,Female,,,,55.0
2010,,,,4-6,,,,,,56.0
2010,AFRRWA001003,Kicukiro,,,,,,,,56.0
2014-2015,AFRRWA003005,Ngororero,,,,,,,,56.0
2014-2015,AFRRWA005003,Gatsibo,,,,,,,,56.0
2010,,,,,,,,Second,,57.0
2010,,,Primary,,,,,,,59.0
