Year,Confidence Interval,Value
1990,,61.0
1990,Lower bound,23.0
1990,Upper bound,118.0
1991,,61.0
1991,Lower bound,24.0
1991,Upper bound,117.0
1992,,62.0
1992,Lower bound,26.0
1992,Upper bound,114.0
1993,,61.0
1993,Lower bound,26.0
1993,Upper bound,111.0
1994,,59.0
1994,Lower bound,26.0
1994,Upper bound,107.0
1995,,58.0
1995,Lower bound,26.0
1995,Upper bound,103.0
1996,,55.0
1996,Lower bound,25.0
1996,Upper bound,98.0
1997,,51.0
1997,Lower bound,23.0
1997,Upper bound,91.0
1998,,47.0
1998,Lower bound,22.0
1998,Upper bound,82.0
1999,,43.0
1999,Lower bound,22.0
1999,Upper bound,73.0
2000,,40.0
2000,Lower bound,22.0
2000,Upper bound,64.0
2001,,36.0
2001,Lower bound,22.0
2001,Upper bound,55.0
2002,,31.0
2002,Lower bound,20.0
2002,Upper bound,45.0
2003,,27.0
2003,Lower bound,18.0
2003,Upper bound,36.0
2004,,22.0
2004,Lower bound,15.0
2004,Upper bound,29.0
2005,,19.0
2005,Lower bound,16.0
2005,Upper bound,21.0
2006,,15.0
2006,Lower bound,13.0
2006,Upper bound,17.0
2007,,13.0
2007,Lower bound,11.0
2007,Upper bound,15.0
2008,,12.0
2008,Lower bound,11.0
2008,Upper bound,15.0
2009,,12.0
2009,Lower bound,9.7
2009,Upper bound,15.0
2010,,11.0
2010,Lower bound,8.7
2010,Upper bound,14.0
