Year,Location,Residence,Province,Value
2011,Rwanda,,,74.2
2011,Rwanda,Urban,,87.1
2011,Rwanda,Rural,,71.9
2011,Rwanda,,Kigali City,82.7
2011,Rwanda,,Southern,74.8
2011,Rwanda,,Western,74.2
2011,Rwanda,,Northern,78.9
2011,Rwanda,,Eastern,66.6
2013/2014,Rwanda,,,84.8
2013/2014,Rwanda,Urban,,90.0
2013/2014,Rwanda,Rural,,83.7
2013/2014,Rwanda,,Kigali City,84.5
2013/2014,Rwanda,,Southern,85.8
2013/2014,Rwanda,,Western,84.5
2013/2014,Rwanda,,Northern,90.6
2013/2014,Rwanda,,Eastern,80.6
2016/2017,Rwanda,,,87.4
2016/2017,Rwanda,Urban,,95.8
2016/2017,Rwanda,Rural,,85.4
2016/2017,Rwanda,,Kigali City,95.9
2016/2017,Rwanda,,Southern,88.0
2016/2017,Rwanda,,Western,86.5
2016/2017,Rwanda,,Northern,87.5
2016/2017,Rwanda,,Eastern,82.6
