Year,Province,Resisdence,Value
2016-2017,,,27.1
2016-2017,Kigali City,,78.4
2016-2017,Southern,,14.4
2016-2017,Western,,21.6
2016-2017,Northern,,18.0
2016-2017,Eastern,,18.1
2016-2017,,Urban,75.6
2016-2017,,Rural,15.5
2013-2014,,,19.8
2013-2014,Kigali City,,73.3
2013-2014,Southern,,9.3
2013-2014,Western,,14.7
2013-2014,Northern,,10.4
2013-2014,Eastern,,15.3
2013-2014,,Urban,71.8
2013-2014,,Rural,9.1
2011,,,10.8
2011,Kigali City,,55.6
2011,Southern,,3.2
2011,Western,,8.2
2011,Northern,,6.7
2011,Eastern,,5.6
2011,,Urban,46.0
2011,,Rural,4.7
2005,,,4.3
2005,Kigali City,,29.7
2005,Southern,,2.1
2005,Western,,2.0
2005,Northern,,1.0
2005,Eastern,,1.7
2005,,Urban,23.1
2005,,Rural,0.7
