Year,Child labour,Sex,Age,Value
2013-14,,,,5.5
2013-14,Working in hazardous conditions,Both,,2.1
2013-14,Working in hazardous conditions,Male,,2.9
2013-14,Working in hazardous conditions,Female,,1.3
2013-14,"Child labour, not hazardous",Both,,3.4
2013-14,"Child labour, not hazardous",Male,,3.5
2013-14,"Child labour, not hazardous",Female,,3.3
2013-14,Working in hazardous conditions,,6 - 9,0.2
2013-14,Working in hazardous conditions,,10 - 15,1.6
2013-14,Working in hazardous conditions,,16 - 17,9.2
2013-14,"Child labour, not hazardous",,6 - 9,0.5
2013-14,"Child labour, not hazardous",,10 - 15,6.4
2013-14,"Child labour, not hazardous",,16 - 17,0.0
